ct,lengths
1053,144
1054,89
1055,134
1056,126
1057,121
1058,138
1059,139
1060,137
1061,140
1062,50
1063,134
1064,88
1065,104
1066,52
1067,136
1068,141
1069,132
1070,140
1071,81
1072,55
1073,102
1074,117
1075,135
1076,103
1077,107
1078,136
1079,102
1080,118
1081,104
1082,102
1083,108
1084,140
1085,45
1086,87
1087,57
1088,49
1089,106
1090,131
1091,131
1092,137
1093,140
1094,144
1095,140
1096,139
1097,141
1098,56
1099,121
1100,138
1101,139
1102,140
1103,140
1104,137
1105,120
1106,136
1107,137
1108,138
1109,138
1110,140
1111,138
1112,126
1113,108
1114,133
1115,131
1116,134
1117,127
1118,139
1119,25
1120,120
1121,138
1122,140
1123,146
1124,134
1125,134
1126,112
1127,113
1128,125
1129,134
1130,76
1131,82
1132,139
1133,137
1134,143
1135,129
1136,106
1137,111
1138,129
1139,136
1140,144
1141,140
1142,25
1143,139
1144,140
1145,111
1146,90
1147,140
1148,75
1149,132
1150,137
1151,133
1152,140
1153,56
1154,140
1155,116
1156,138
1157,123
1158,132
1159,140
1160,99
1161,82
1162,25
1163,107
1164,134
1165,110
1166,66
1167,136
1168,110
1169,140
1170,139
1171,140
1172,140
1173,135
1174,139
1175,105
1176,55
1177,23
1178,128
1179,106
1180,144
1181,88
1182,61
1183,82
1184,130
1185,90
1186,59
1187,51
1188,51
1189,61
1190,110
1191,126
1192,49
1193,129
1194,92
1195,100
1196,92
1197,92
1198,108
1199,142
1200,115
1201,128
1202,134
1203,137
1204,135
1205,110
1206,124
1207,117
1208,130
1209,140
1210,132
1211,138
1212,137
1213,139
1214,135
1215,112
1216,84
1217,135
1218,113
1219,134
1220,23
1221,114
1222,45
1223,138
1224,76
1225,51
1226,127
1227,82
1228,83
1229,121
1230,143
1231,28
1232,85
1233,30
1234,33
1235,45
1236,53
1237,140
1238,140
1239,132
1240,133
1241,48
1242,48
1243,48
1244,48
1245,137
1246,134
1247,123
1248,142
1249,25
1250,45
1251,142
1252,141
1253,138
1254,91
1255,107
1256,122
1257,77
1258,75
1259,132
1260,139
1261,102
1262,132
1263,134
1264,137
1265,108
1266,114
1267,130
1268,73
1269,134
1270,127
1271,140
1272,61
1273,133
1274,138
1275,134
1276,140
1277,137
1278,125
1279,143
1280,135
1281,133
1282,88
1283,133
1284,89
1285,101
1286,123
1287,138
1288,131
1289,140
1290,137
1291,90
1292,140
1293,142
1294,140
1295,135
1296,95
1297,110
1298,116
1299,95
1300,43
1301,44
1302,44
1303,43
1304,45
1305,137
1306,140
1307,140
1308,136
1309,133
1310,119
1311,138
1312,106
1313,121
1314,91
1315,115
1316,118
1317,123
1318,120
1319,103
1320,53
1321,128
1322,94
1323,134
1324,62
1325,91
1326,135
1327,119
1328,137
1329,136
1330,139
1331,121
1332,126
1333,123
1334,137
1335,131
1336,140
1337,104
1338,132
1339,144
1340,127
1341,122
1342,57
1343,75
1344,48
1345,103
1346,135
1347,140
1348,137
1349,85
1350,56
1351,92
1352,125
1353,80
1354,137
1355,126
1356,118
1357,136
1358,116
1359,128
1360,134
1361,136
1362,127
1363,129
1364,136
1365,140
1366,140
1367,139
1368,135
1369,113
1370,127
1371,139
1372,127
1373,140
1374,139
1375,50
1376,92
1377,140
1378,135
1379,115
1380,135
1381,138
1382,119
1383,84
1384,137
1385,134
1386,136
1387,57
1388,134
1389,134
1390,81
1391,136
1392,84
1393,85
1394,120
1395,108
1396,137
1397,139
1398,108
1399,140
1400,140
1401,137
1402,67
1403,144
1404,144
1405,119
1406,76
1407,66
1408,114
1409,115
1410,118
1411,121
1412,114
1413,140
1414,82
1415,128
1416,137
1417,132
1418,140
1419,53
1420,118
1421,138
